Analyzing gantt_view_model.dart...                              

  error • Undefined name 'effectiveTotalStartDate' • lib/view_models/gantt_view_model.dart:2253:61 • undefined_identifier
  error • Undefined name '_visibleEndDate' • lib/view_models/gantt_view_model.dart:2254:29 • undefined_identifier
  error • Undefined name '_visibleStartDate' • lib/view_models/gantt_view_model.dart:2254:57 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2264:18 • undefined_identifier
  error • Undefined name '_gridScrollController' • lib/view_models/gantt_view_model.dart:2265:26 • undefined_identifier
  error • Undefined name '_gridScrollController' • lib/view_models/gantt_view_model.dart:2269:27 • undefined_identifier
  error • Undefined name '_gridScrollController' • lib/view_models/gantt_view_model.dart:2270:30 • undefined_identifier
  error • Undefined name 'visibleGanttRows' • lib/view_models/gantt_view_model.dart:2273:31 • undefined_identifier
  error • Undefined name '_rowMaxStackDepth' • lib/view_models/gantt_view_model.dart:2280:28 • undefined_identifier
  error • Undefined name 'rowHeight' • lib/view_models/gantt_view_model.dart:2281:37 • undefined_identifier
  error • Undefined name 'ganttScrollController' • lib/view_models/gantt_view_model.dart:2290:29 • undefined_identifier
  error • Undefined name '_gridScrollController' • lib/view_models/gantt_view_model.dart:2294:9 • undefined_identifier
  error • Undefined name '_ganttScrollController' • lib/view_models/gantt_view_model.dart:2298:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2302:13 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2303:11 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2305:13 • undefined_identifier
  error • Undefined name '_localResources' • lib/view_models/gantt_view_model.dart:2306:28 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2316:11 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2333:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2334:7 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2336:9 • undefined_identifier
  error • Undefined name '_localResources' • lib/view_models/gantt_view_model.dart:2337:24 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2347:7 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2355:9 • undefined_identifier
  error • Undefined name 'visibleGanttRows' • lib/view_models/gantt_view_model.dart:2358:29 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2360:71 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2361:9 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2362:9 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2363:24 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2366:7 • undefined_function
  error • Undefined name '_rowMaxStackDepth' • lib/view_models/gantt_view_model.dart:2374:22 • undefined_identifier
